sentiment,coin_std,trades,notional_sum,r_mean,pnl_mean,winrate
Extreme Greed,PURR/USDC,115,25422.86,0.1434687278803244,36.90202229565217,0.6
Extreme Greed,RNDR,34,16601.7,0.00222077873605873,1.1054079411764706,0.5882352941176471
Extreme Greed,RUNE,11,20223.86,0.008194368444955172,16.494624454545455,0.45454545454545453
Extreme Greed,SAND,6,3466.01,0.006735103688450085,5.678755666666667,0.3333333333333333
Extreme Greed,SOL,31,254970.76,0.008739072840024963,39.156017548387105,0.41935483870967744
Extreme Greed,STRK,8,749.75,0.02082192490056887,1.0111153750000001,0.5
Extreme Greed,SUI,36,43110.42,0.0077427209917917085,20.0807775,0.3333333333333333
Extreme Greed,SUSHI,41,17575.24,0.008827644802417262,0.42647273170731725,0.14634146341463414
Extreme Greed,TAO,1,52.96,0.1794613859516616,9.504275,1.0
Extreme Greed,TIA,10,30249.56,0.0077579828255403575,37.3544,0.2
Extreme Greed,TNSR,187,99538.09,0.00911104854542912,3.3457289304812834,0.47058823529411764
Extreme Greed,TRX,71,68222.84,0.0007640887603492607,1.9925196338028166,0.08450704225352113
Extreme Greed,TURBO,29,116391.15,0.049758398738836945,258.32658,0.5862068965517241
Extreme Greed,UNI,5,2987.99,0.0022553984219849687,1.6169166000000001,0.4
Extreme Greed,W,36,14311.14,0.006704511507397408,3.1505485,0.4444444444444444
Extreme Greed,WIF,37,76181.55,0.0543781885328638,60.77297940540541,0.9459459459459459
Extreme Greed,WLD,79,210879.98,0.015506844469255949,63.47915875949367,0.6455696202531646
Extreme Greed,XAI,4,2049.58,0.017772440297014778,6.143474250000001,0.75
Extreme Greed,XRP,59,52180.26,0.004185324594636552,-1.1862653728813561,0.2542372881355932
Extreme Greed,YGG,4,996.62,0.0009987794578943136,0.496713,0.25
Extreme Greed,ZETA,5,309.46,-0.034300288508102066,-2.772696,0.0
Extreme Greed,ZK,4,304.53999999999996,0.0,0.0,0.0
Extreme Greed,kBONK,46,89096.41,0.028722527683028423,43.154500282608694,0.717391304347826
Extreme Greed,kPEPE,63,330277.44,-0.018186561158395478,-7.064131285714287,0.30158730158730157
Extreme Greed,kSHIB,10,13948.15,-0.005967374064610743,-3.9824881999999997,0.4
Fear,@1,2,50.12,0.1748990411788454,8.6644985,0.5
Fear,@10,1,0.0,,0.0,0.0
Fear,@107,1456,2499445.94,0.02211271163176353,45.982377657967035,0.3557692307692308
Fear,@13,1,0.0,,0.0,0.0
Fear,@142,12,78562.57,0.004010526974620573,6.981712166666667,0.3333333333333333
Fear,@16,1,0.0,,0.0,0.0
Fear,@23,9,1519.71,0.0,0.0,0.0
Fear,@26,1,0.0,,0.0,0.0
Fear,@29,1,0.0,,0.0,0.0
Fear,@35,1,0.0,,0.0,0.0
Fear,@37,1,10.89,0.9345307621671257,10.17704,1.0
Fear,@38,1,0.04,0.0,0.0,0.0
Fear,@39,1,0.0,,0.0,0.0
Fear,@4,47,3838.56,0.060426723506548104,3.8766519574468083,0.3404255319148936
Fear,@40,1,0.0,,0.0,0.0
Fear,@41,1,0.0,,0.0,0.0
Fear,@44,1,0.12,0.0,0.0,0.0
Fear,@47,1,0.0,,0.0,0.0
Fear,@49,1,500.0,0.0,0.0,0.0
Fear,@51,20,2275.37,0.0,0.0,0.0
Fear,@59,13,6257.6,0.0,0.0,0.0
Fear,@74,2,0.6,0.0,0.0,0.0
Fear,@78,3,1505.09,0.0,0.0,0.0
Fear,@8,20,7019.64,0.03725491412748908,5.5872414500000005,0.25
Fear,@85,41,6595.51,0.0,0.0,0.0
Fear,AAVE,37,79955.67,0.004943792410722229,9.362390486486486,0.24324324324324326
Fear,ADA,97,186201.66,0.01852802743622634,38.6411216701031,0.5567010309278351
Fear,AI16Z,23,14159.18,0.03132725677242951,14.227716608695653,0.5652173913043478
Fear,AIXBT,48,142386.99,0.023569610454891473,11.057061875,0.625
Fear,APE,9,4580.17,0.009085489911061059,3.112671111111111,0.3333333333333333
Fear,APT,5,5050.0,0.13348512133563661,134.82,1.0
Fear,ARB,58,79842.4,0.0038803080091378544,6.306102017241379,0.22413793103448276
Fear,ATOM,8,1339.73,0.002240206841531752,0.388981625,0.5
Fear,AVAX,21,2659.77,0.017850744637083197,2.1558322857142858,0.5714285714285714
Fear,BIO,8,446.84999999999997,0.08053358847699632,4.513222,0.875
Fear,BLAST,42,18919.14,0.01000933503536818,7.198419095238095,0.2857142857142857
Fear,BLUR,6,50129.39,0.00251990926713767,21.073916,0.5
Fear,BNB,5,2063.76,-0.0029988423401506635,-1.7873999999999999,0.0
Fear,BRETT,1,54.96,0.12597936681222707,6.923826,1.0
Fear,BTC,988,15801881.790000001,0.002713942180935433,54.15769057692307,0.3188259109311741
Fear,CHILLGUY,12,5321.32,0.08495466859596713,41.275930249999995,0.75
Fear,CRV,32,7328.87,0.028990998600419978,4.542741125,0.59375
Fear,DOGE,72,361506.54,0.0025993645922727706,27.00480027777778,0.06944444444444445
Fear,DOT,11,1532.89,0.03952029947309565,2.408776181818182,0.8181818181818182
Fear,DYDX,51,182635.31,0.0062258598784806374,8.084819176470589,0.3137254901960784
Fear,EIGEN,31,15281.37,0.039552997661229904,8.487547935483871,0.41935483870967744
Fear,ENA,99,293208.44,0.4987769536771821,1616.4781267171716,0.7777777777777778
Fear,ENS,4,20014.59,-0.00030930406190181234,-1.7803399999999998,0.0
Fear,ETH,2226,34665741.58,0.016606733345473836,137.00238786118598,0.367026055705301
Fear,ETHFI,12,14719.75,0.022171178127446,22.851355666666667,0.5833333333333334
Fear,FARTCOIN,93,66055.41,0.013245942203549431,7.509328741935484,0.22580645161290322
Fear,FTT,118,34850.32,0.0198278117455701,4.869065567796611,0.3728813559322034
Fear,GRASS,39,37399.060000000005,-0.004350103827602114,-16.066680717948717,0.3333333333333333
Fear,GRIFFAIN,102,89871.36,0.024256378253756712,14.29189306862745,0.7156862745098039
Fear,HBAR,30,19487.08,0.009782106511280109,6.740319866666667,0.3333333333333333
Fear,HYPE,4165,9872958.5,0.016896193189585455,59.81388927154862,0.32797118847539014
Fear,ILV,18,41598.4,-0.012601220080747249,-15.503822222222222,0.0
Fear,IMX,16,1173.26,0.02047726025012505,1.07950175,0.5625
Fear,INJ,22,2314.56,0.023651023450485694,1.485550181818182,0.7272727272727273
Fear,IO,4,554.71,0.0,0.0,0.0
Fear,IP,39,42680.71,-0.004559266816640446,-14.695970102564102,0.0
Fear,JTO,4,1084.6399999999999,0.01058032688107253,5.619,0.25
Fear,JUP,135,144828.12,0.01246471608416629,12.831471496296297,0.5407407407407407
Fear,KAITO,4,7490.01,0.0,0.0,0.0
Fear,LDO,10,2633.93,0.009233777727158488,1.9189546,0.7
Fear,LINK,51,21584.5,0.015915182312697628,9.856434568627451,0.5294117647058824
Fear,LTC,6,315.98,0.0,0.0,0.0
Fear,MANTA,15,63556.08,0.020270321450298546,81.4507824,0.8666666666666667
Fear,ME,126,44697.4,0.4327365079365079,109.29139152380952,0.7619047619047619
Fear,MELANIA,127,106376.74,0.10036027051782574,92.47889110236221,0.15748031496062992
Fear,MEME,15,12228.119999999999,0.019089304770507378,36.026332000000004,0.13333333333333333
Fear,MERL,2,96.53,-0.03399357326478149,-1.58682,0.0
Fear,NEAR,58,344744.42,0.029311611655442542,89.51634793103449,0.9137931034482759
Fear,NTRN,8,22158.35,0.010134103575647247,23.63072375,0.625
Fear,ONDO,104,82838.35,0.0033936925507851577,8.578899682692308,0.2403846153846154
Fear,OP,26,35915.96,0.0015616909511600276,0.49946,0.038461538461538464
Fear,PENDLE,147,79006.69,0.027091318635664892,14.897283755102041,0.5102040816326531
Fear,PENGU,38,64554.69,0.002550933811200481,2.3176501315789473,0.5263157894736842
Fear,PURR,114,187952.73,0.025599952840722265,29.219232640350878,0.9122807017543859
Fear,PURR/USDC,152,82823.14,0.14396450648812797,37.17418789473684,0.5394736842105263
Fear,RENDER,3,1863.0500000000002,0.003179044065327321,1.7698066666666665,0.6666666666666666
Fear,RNDR,2,2566.9399999999996,0.018931026817611663,23.8459,0.5
Fear,RUNE,20,17365.39,0.031242938431466704,13.916395099999999,0.8
Fear,S,116,169625.18,-0.10472960344033472,-74.50552482758621,0.31896551724137934
Fear,SAND,8,3289.6600000000003,-0.0038692887643018755,-1.8775549999999999,0.0
Fear,SOL,1086,11356439.81,0.06566730026127708,760.9600215939226,0.45119705340699817
Fear,SPX,14,77951.48,0.050302373782266284,146.943567,0.9285714285714286
Fear,STRK,7,579.71,0.024710631336381985,1.9329928571428572,0.7142857142857143
Fear,SUI,131,281555.81,0.005703593451625993,8.619289572519083,0.183206106870229
Fear,SUSHI,13,5175.78,0.047805487455774884,12.422855923076924,0.38461538461538464
Fear,TAO,76,206900.31,0.023924998431279793,60.744572407894736,0.5526315789473685
Fear,TIA,23,50849.909999999996,0.015938823648008884,-14.400045913043481,0.391304347826087
Fear,TNSR,79,41642.98,0.004515835939281341,2.8750875189873417,0.27848101265822783
Fear,TRUMP,2,661.98,0.0055325515690980345,1.82115,0.5
Fear,TURBO,8,3693.16,0.0011761376551080863,0.14074350000000002,0.375
Fear,USUAL,63,73870.87,0.352495671788771,711.2737468095238,0.31746031746031744
Fear,VINE,104,109540.5,0.0009883777219425569,-0.32676517307692293,0.20192307692307693
Fear,VIRTUAL,3,299.88,0.0,0.0,0.0
Fear,VVV,42,120484.09,0.023692706048850848,37.09277323809523,0.9285714285714286
Fear,W,265,142287.01,0.0019023317397820101,0.8213724867924528,0.30943396226415093
Fear,WIF,42,136785.09,0.043533150120232234,37.408035500000004,0.7619047619047619
Fear,WLD,122,240679.99,0.011762781955002567,28.23429263934426,0.39344262295081966
Fear,XAI,4,62948.74,0.02547787240177385,262.4099775,0.75
Fear,XRP,107,98332.39,0.021159020059560184,14.34682678504673,0.6728971962616822
Fear,YGG,14,47516.37,0.0355648220689398,68.48452357142858,0.8571428571428571
Fear,ZEREBRO,57,80719.81,0.01138242713802448,8.423362385964912,0.9649122807017544
Fear,ZK,16,1031.24,0.04316870462639188,1.9065486249999999,0.75
Fear,kBONK,26,61165.55,0.009305600959341319,23.753011346153848,0.46153846153846156
Fear,kPEPE,82,199972.74,0.02187989476813138,40.951040524390244,0.7682926829268293
Fear,kSHIB,1,222.01,0.0,0.0,0.0
Greed,@1,1,106.67,-0.4498242429924065,-47.982752,0.0
Greed,@10,2,37.260000000000005,-0.001502935606060606,-0.031742,0.0
Greed,@103,2,10.05,0.9921316417910447,4.9854615,0.5
Greed,@107,1911,2989706.35,0.0649712736240532,85.77625654788069,0.39717425431711145
Greed,@113,1,15.73,0.985105340114431,15.495707,1.0
Greed,@13,2,52.86,-0.0014957709038182696,-0.061895,0.0
Greed,@14,1,0.84,0.0,0.0,0.0
Greed,@142,149,211652.56,0.002850916400114929,6.9411371543624165,0.4228187919463087
Greed,@16,2,35.86,-0.0011821009389671362,-0.0302145,0.0
Greed,@20,20,506.48,0.009476176,0.23690439999999996,0.1
Greed,@26,8,24.57,-0.010636026761977148,-0.032252249999999996,0.0
Greed,@29,4,23.7,-0.004505735981362902,-0.0195935,0.0
Greed,@3,13,224.92,0.001424282579288522,0.035578,0.15384615384615385
