sentiment,account_std,trades,notional_sum,r_mean,pnl_mean,winrate
Greed,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1035,467472.5,0.08955987904485688,21.873886041545894,0.43381642512077295
Greed,0x2c229d22b100a7beb69122eed721cee9b24011dd,134,307692.48,0.09095762560578195,145.99652880597014,0.582089552238806
Greed,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,33,806.68,0.29731940471821694,6.949143242424243,0.30303030303030304
Greed,0x39cef799f8b69da1995852eea189df24eb5cae3c,41,288417.13,-0.004897411886530964,-235.5043166097561,0.12195121951219512
Greed,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,5,51969.28,0.0,0.0,0.0
Greed,0x420ab45e0bd8863569a5efbb9c05d91f40624641,45,480326.66,0.0,0.0,0.0
Greed,0x430f09841d65beb3f27765503d0f850b8bce7713,1,0.61,0.0,0.0,0.0
Greed,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,709,434273.51,0.008947288655924954,5.525543882933709,0.36530324400564174
Greed,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,16,599582.17,0.0008629674297355915,27.762824875,0.625
Greed,0x4f93fead39b70a1824f981a54d4e55b278e9f760,663,9576183.7,0.00301990537503686,42.472732260935146,0.24283559577677225
Greed,0x513b8629fe877bb581bf244e326a047b249c4ff1,342,7652160.79,0.006679718835274909,177.03013121052632,0.6900584795321637
Greed,0x6d6a4b953f202f8df5bed40692e7fd865318264a,53,75400.74,0.008957623676800976,6.9286282075471695,0.24528301886792453
Greed,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,54,68736.15,0.0,0.0,0.0
Greed,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,936,3996384.55,0.029839187929240816,72.69784879059829,0.8728632478632479
Greed,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,12,83494.55,0.012023924326109573,84.04324616666666,0.4166666666666667
Greed,0x8170715b3b381dffb7062c0298972d4727a0a63b,96,210374.84,0.0531716039774745,133.21608352083334,0.22916666666666666
Greed,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,363,811604.25,0.002030564017756019,5.077966515151515,0.34710743801652894
Greed,0x8477e447846c758f5a675856001ea72298fd9cb5,940,812292.79,-0.0056583726323382304,-16.034146370212767,0.2723404255319149
Greed,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,169,400643.99,0.026563046311472927,72.46097662130177,0.4437869822485207
Greed,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,703,1917416.46,0.0024704595044312836,-5.435656145092461,0.2332859174964438
Greed,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,63,72351.18,0.6434447850984012,550.9500385396825,0.7777777777777778
Greed,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,44,78277.3,0.0,0.0,0.0
Greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2032,11680200.15,0.043719929564931176,163.7331564183071,0.2800196850393701
Greed,0xbaaaf6571ab7d571043ff1e313a9609a10637864,744,2826892.54,0.06678366651791656,252.8452160107527,1.0
Greed,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,210,2278341.45,-0.051077363951705514,-572.5534634428572,0.3
Greed,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,667,1068940.99,0.010114304368816522,10.703652181409295,0.5157421289355323
Neutral,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,64,54584.72,0.04569123200527136,39.340427890625,0.984375
Neutral,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,239,27077.78,0.0664018273864596,4.469914820083682,0.6276150627615062
Neutral,0x2c229d22b100a7beb69122eed721cee9b24011dd,12,19024.84,0.00787331833409802,10.90697425,0.5833333333333334
Neutral,0x39cef799f8b69da1995852eea189df24eb5cae3c,3,67566.11,0.0,0.0,0.0
Neutral,0x430f09841d65beb3f27765503d0f850b8bce7713,1,0.68,0.0,0.0,0.0
Neutral,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,220,109914.61,0.02606114678042213,6.742115231818182,0.32272727272727275
Neutral,0x4f93fead39b70a1824f981a54d4e55b278e9f760,134,2123486.68,0.008085663933033579,143.6752890522388,0.44776119402985076
Neutral,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,8,22909.5,0.0,0.0,0.0
Neutral,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,333,1056199.87,0.03851536528385171,70.34712967267268,0.9309309309309309
Neutral,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,7,12797.13,0.09061734974167826,156.15096714285713,1.0
Neutral,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2,1044.8,0.0,0.0,0.0
Neutral,0x8477e447846c758f5a675856001ea72298fd9cb5,100,33269.92,0.009630736181520836,1.82696389,0.27
Neutral,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,11,111525.44,-0.02242609704654271,-19.975423545454547,0.0
Neutral,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,642,6428540.7,0.007807922693575644,-1.3685372975077883,0.2087227414330218
Neutral,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,52,145530.36,0.0,0.0,0.0
Neutral,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,928,1726078.07,0.022345236260834175,28.664860390086204,0.5765086206896551
Unknown,0x083384f897ee0f19899168e3b1bec365f52a9012,1332,21231726.9,0.018711673671500225,476.4572627507508,0.27852852852852855
Unknown,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,6088,9628504.56,-0.00039257023601960145,5.5490549326544025,0.45105124835742444
Unknown,0x271b280974205ca63b716753467d5a371de622ab,3805,33715316.47,0.00011954192174692533,-18.566362359526938,0.3014454664914586
Unknown,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,10574,5737142.07,0.042615862812653255,6.99167117713259,0.42831473425383015
Unknown,0x2c229d22b100a7beb69122eed721cee9b24011dd,2861,9065140.34,0.02076971387358503,43.90675313456833,0.5200978678783642
Unknown,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,764,1362483.75,-0.49979877768250786,-41.14256768717277,0.4725130890052356
Unknown,0x39cef799f8b69da1995852eea189df24eb5cae3c,3292,15116919.54,0.0058232154669717396,5.703898659781287,0.33262454434993927
Unknown,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,288,925675.1,0.04618407994382145,180.41413300347222,0.4513888888888889
Unknown,0x420ab45e0bd8863569a5efbb9c05d91f40624641,328,1439692.8499999999,0.1512747398826743,602.8754046707317,0.24390243902439024
Unknown,0x430f09841d65beb3f27765503d0f850b8bce7713,1231,2966105.93,0.1347936566404537,338.3768256222583,0.48659626320064986
Unknown,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,6181,3174454.88,0.020659681035752185,14.282251911826565,0.3635334088335221
Unknown,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4055,36491825.49,0.016510694548769755,167.0290617620222,0.5198520345252774
Unknown,0x4f93fead39b70a1824f981a54d4e55b278e9f760,5799,102454984.56,0.002138247290892967,46.57820835057768,0.3700638041041559
Unknown,0x513b8629fe877bb581bf244e326a047b249c4ff1,11714,412746391.44,0.009831215594032766,66.57659640959535,0.39892436400887826
Unknown,0x6d6a4b953f202f8df5bed40692e7fd865318264a,830,594994.56,0.23480285514234123,128.44911107831325,0.4602409638554217
Unknown,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1449,9843150.98,0.01866698992623534,296.3116396928916,0.3795721187025535
Unknown,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1147,2317854.69,0.06733753379706524,179.35184703487357,0.2842197035745423
Unknown,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,7581,17152154.44,0.02769350916773257,31.197956398100512,0.8112386228729719
Unknown,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1514,5696823.6,0.0023126624569520006,7.8342653289299875,0.4464993394980185
Unknown,0x8170715b3b381dffb7062c0298972d4727a0a63b,4162,9293832.51,0.027877098263420743,-49.47751160523787,0.38995675156174914
Unknown,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1410,5104932.76,0.007798132230536445,38.64611162836879,0.3219858156028369
Unknown,0x8477e447846c758f5a675856001ea72298fd9cb5,12179,9842290.09,0.0015392886777382826,3.8234201275966826,0.24731094506938173
Unknown,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2883,10591711.75,0.012350937536914266,39.657661146375304,0.2761012833853625
Unknown,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,13908,16818782.92,0.004597963376080106,7.380802347857348,0.36360368133448373
Unknown,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,156,263160.66,0.3091834692799497,289.2857668910257,0.75
Unknown,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,352,881192.25,0.05069494419721222,133.2957565596591,0.35511363636363635
Unknown,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,520,4092297.29,0.0026390017540068493,37.853493294230766,0.325
Unknown,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9513,29929078.13,0.02946839023931207,69.89255824440241,0.33438452643750655
Unknown,0xb899e522b5715391ae1d4f137653e7906c5e2115,4498,101535621.85,-0.0006012692115999733,-3.953381828368163,0.43641618497109824
Unknown,0xbaaaf6571ab7d571043ff1e313a9609a10637864,18630,56397703.56,0.01227432425725095,39.6569986382716,0.4548040794417606
Unknown,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1847,14720636.88,0.03841015559342966,94.97514547590687,0.3232268543584191
Unknown,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,34469,63591101.34,0.008522097908546397,18.289717016449565,0.4098755403405959
